Year; Shares ;Company;Percentage of Company Owned; Cost (in millions) ; Market (in millions) ;Ticker;Net Change in Shares Since Prior Report
2019;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);18,7;1.287,00;18.874,00;AXP;0
2019;250.866.566;APPLE INC. (XNAS:AAPL);5,7;35.287,00;73.667,00;AAPL;-4433763
2019;947.760.000;Bank of America Corporation;10,7;12.560,00;33.380,00;BAC;0
2019;81.488.751;THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK PR C);9;3.696,00;4.101,00;BKPRC;-3000000
2019;5.426.609;CHARTER COMMUNICATIONS, INC. (XNAS:CHTR);2,6;944;2.632,00;CHTR;-1362445
2019;400.000.000;THE COCA-COLA COMPANY (XETR:CCC3);9,3;1.299,00;22.140,00;CCC3;0
2019;70.910.456;DELTA AIR LINES, INC. (XFRA:OYC);11;3.125,00;4.147,00;OYC;5375456
2019;12.435.814;THE GOLDMAN SACHS GROUP, INC. (XNYS:GS);3,5;890;2.859,00;GS;-6348884
2019;60.059.932;JPMORGAN CHASE & CO. (XNYS:JPM);1,9;6.556,00;8.372,00;JPM;9398538
2019;24.669.778;MOODY'S CORPORATION (XNYS:MCO);13,1;248;5.857,00;MCO;0
2019;46.692.713;SOUTHWEST AIRLINES CO. (XNYS:LUV);9;1.940,00;2.520,00;LUV;-1198186
2019;21.938.642;United Continental Holdings Inc.;8,7;1.195,00;1.933,00;UAL;0
2019;149.497.786;U.S. BANCORP (XNYS:USB);9,7;5.709,00;8.864,00;USB;3150787
2019;10.239.160;VISA INC. (XNYS:V);0,6;349;1.924,00;V;0
2019;345.688.918;WELLS FARGO & COMPANY (XNYS:WFC);8,4;7.040,00;18.598,00;WFC;-103660184
2019;0;Others*** ;0;28.215,00;38.159,00;No Ticker;0
2018;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);17,9;1.287,00;14.452,00;AXP;0
2018;255.300.329;APPLE INC. (XNAS:AAPL);5,4;36.044,00;40.271,00;AAPL;88587120
2018;918.919.000;BANK OF AMERICA CORPORATION (XNYS:BAC);9,5;11.650,00;22.642,00;BAC;218919000
2018;84.488.751;THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK PR C);8,8;3.860,00;3.977,00;BKPRC;31181217
2018;6.789.054;CHARTER COMMUNICATIONS, INC. (XNAS:CHTR);3;1.210,00;1.935,00;CHTR;0
2018;400.000.000;THE COCA-COLA COMPANY (XFRA:CCC3);9,4;1.299,00;18.940,00;CCC3;0
2018;65.535.000;DELTA AIR LINES, INC. (XFRA:OYC);9,6;2.860,00;3.270,00;OYC;12424605
2018;18.784.698;THE GOLDMAN SACHS GROUP, INC. (XNYS:GS);4,9;2.380,00;3.138,00;GS;7394116
2018;50.661.394;JPMORGAN CHASE & CO. (XNYS:JPM);1,5;5.605,00;4.946,00;JPM;0
2018;24.669.778;MOODY'S CORPORATION (XNYS:MCO);12,9;248;3.455,00;MCO;0
2018;47.890.899;SOUTHWEST AIRLINES CO. (XNYS:LUV);8,7;2.005,00;2.226,00;LUV;231443
2018;21.938.642;United Continental Holdings Inc.;8,1;1.195,00;1.837,00;UAL;-4681542
2018;146.346.999;U.S. BANCORP (XNYS:USB);9,1;5.548,00;6.688,00;USB;42491954
2018;43.387.980;Smartshares US Large Gth ETF (XNZE:USG);31;836;1.851,00;USG;0
2018;449.349.102;WELLS FARGO & COMPANY (XNYS:WFC);9,8;10.639,00;20.706,00;WFC;-34121751
2018;0;Others;0;16.201,00;22.423,00;No Ticker;0
2017;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);17,6;1.287,00;15.056,00;AXP;0
2017;166.713.209;APPLE INC. (XNAS:AAPL);3,3;20.961,00;28.213,00;AAPL;105470557
2017;700.000.000;BANK OF AMERICA CORPORATION (XNYS:BAC);6,8;5.007,00;20.664,00;BAC;0
2017;53.307.534;THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK PR C);5,3;2.230,00;2.871,00;BKPRC;0
2017;225.000.000;BYD Company, Ltd. ;8,2;232;1.961,00;BYDDF;0
2017;6.789.054;CHARTER COMMUNICATIONS, INC. (XNAS:CHTR);2,8;1.210,00;2.281,00;CHTR;0
2017;400.000.000;THE COCA-COLA COMPANY (XFRA:CCC3);9,4;1.299,00;18.352,00;CCC3;0
2017;53.110.395;DELTA AIR LINES, INC. (XFRA:OYC);7,4;2.219,00;2.974,00;OYC;-1824323
2017;44.527.147;GENERAL MOTORS COMPANY (XNYS:GM);3,2;1.343,00;1.825,00;GM;0
2017;11.390.582;THE GOLDMAN SACHS GROUP, INC. (XNYS:GS);3;654;2.902,00;GS;0
2017;24.669.778;MOODY'S CORPORATION (XNYS:MCO);12,9;248;3.642,00;MCO;0
2017;74.587.892;PHILLIPS 66 (XNYS:PSX);14,9;5.841,00;7.545,00;PSX;0
2017;47.659.456;SOUTHWEST AIRLINES CO. (XNYS:LUV);8,1;1.997,00;3.119,00;LUV;4455681
2017;103.855.045;U.S. BANCORP (XNYS:USB);6,3;3.343,00;5.565,00;USB;1995710
2017;482.544.468;Wells Fargo & Company;9,9;11.837,00;29.276,00;WFC;-17455532
2017;0;Others ;0;14.968,00;24.294,00;No Ticker;0
2016;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);16,8;1.287,00;11.231,00;AXP;0
2016;61.242.652;APPLE INC. (XNAS:AAPL);1,1;6.747,00;7.093,00;AAPL;0
2016;6.789.054;CHARTER COMMUNICATIONS, INC. (XNAS:CHTR);2,5;1.210,00;1.955,00;CHTR;-674103
2016;400.000.000;THE COCA-COLA COMPANY (XETR:CCC3);9,3;1.299,00;16.584,00;CCC3;0
2016;54.934.718;DELTA AIR LINES, INC. (XFRA:OYC);7,5;2.299,00;2.702,00;OYC;0
2016;11.390.582;The Goldman Sachs Group, Inc. ;2,9;654;2.727,00;GS;-1672012
2016;81.232.303;INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM);8,5;13.815,00;13.484,00;IBM;198853
2016;24.669.778;MOODY'S CORPORATION (XNYS:MCO);12,9;248;2.326,00;MCO;0
2016;74.587.892;PHILLIPS 66 (XNYS:PSX);14,4;5.841,00;6.445,00;PSX;19202966
2016;22.169.930;Sanofi ;1,7;1.692,00;1.791,00;SNY;0
2016;43.203.775;SOUTHWEST AIRLINES CO. (XNYS:LUV);7;1.757,00;2.153,00;LUV;0
2016;101.859.335;U.S. BANCORP (XNYS:USB);6;3.239,00;5.233,00;USB;0
2016;26.620.184;United Continental Holdings Inc.;8,4;1.477,00;1.940,00;UAL;0
2016;43.387.980;Smartshares US Large Gth ETF (XNZE:USG);29,7;836;1.253,00;USG;0
2016;500.000.000;Wells Fargo & Company ;10;12.730,00;27.555,00;WFC;0
2016;0;Others ;0;10.697,00;17.560,00;No Ticker;0
2015;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);15,6;1.287,00;10.545,00;AXP;0
2015;46.577.138;AT&T INC. (XNYS:T);0,8;1.283,00;1.603,00;T;0
2015;7.463.157;CHARTER COMMUNICATIONS, INC. (XNAS:CHTR);6,6;1.202,00;1.367,00;CHTR;0
2015;400.000.000;THE COCA-COLA COMPANY (XETR:CCC3);9,3;1.299,00;17.184,00;CCC3;0
2015;18.513.482;DaVita HealthCare Partners Inc. ;8,8;843;1.291,00;DVA;0
2015;22.164.450;DEERE & COMPANY (XNYS:DE);7;1.773,00;1.690,00;DE;6733864
2015;11.390.582;THE GOLDMAN SACHS GROUP, INC. (XNYS:GS);2,7;654;2.053,00;GS;0
2015;81.033.450;INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM);8,4;13.791,00;11.152,00;IBM;4061633
2015;24.669.778;MOODY'S CORPORATION (XNYS:MCO);0,6;248;2.475,00;MCO;0
2015;55.384.926;PHILLIPS 66 (XNYS:PSX);10,5;4.357,00;4.530,00;PSX;34716808
2015;52.477.678;THE PROCTER & GAMBLE COMPANY (XNYS:PG);1,9;336;4.683,00;PG;0
2015;22.169.930;Sanofi ;1,7;1.701,00;1.896,00;SNY;0
2015;101.859.335;U.S. BANCORP (XNYS:USB);5,8;3.239,00;4.346,00;USB;4968670
2015;63.507.544;WALMART INC. (XNYS:WMT);2;3.593,00;3.893,00;WMT;-4200000
2015;500.000.000;Wells Fargo & Company ;9,8;12.730,00;27.180,00;WFC;16529147
2015;0;Others ;0;10.276,00;16.450,00;No Ticker;0
2014;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);14,8;1.287,00;14.106,00;AXP;0
2014;400.000.000;THE COCA-COLA COMPANY (XETR:CCC3);9,2;1.299,00;16.888,00;CCC3;0
2014;18.513.482;DaVita HealthCare Partners Inc. ;8,6;843;1.402,00;DVA;0
2014;15.430.586;DEERE & COMPANY (XNYS:DE);4,5;1.253,00;1.365,00;DE;0
2014;24.617.939;DIRECTV ;4,9;1.454,00;2.134,00;DTV;2379039
2014;13.062.594;The Goldman Sachs Group, Inc. ;3;750;2.532,00;GS;0
2014;76.971.817;INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM);7,8;13.157,00;12.349,00;IBM;8849833
2014;24.669.778;MOODY'S CORPORATION (XNYS:MCO);12,1;248;2.364,00;MCO;0
2014;20.060.390;Muenchener Rueckversicherungs Gesellschaft AG in Muenchen (XFRA:MUV2);11,8;2.990,00;4.023,00;MUV2;0
2014;52.477.678;THE PROCTER & GAMBLE COMPANY (XNYS:PG);1,9;336;4.683,00;PG;0
2014;22.169.930;Sanofi ;1,7;1.721,00;2.032,00;SNY;0
2014;96.890.665;U.S. BANCORP (XNYS:USB);5,4;3.033,00;4.355,00;USB;773596
2014;43.387.980;Smartshares US Large Gth ETF (XNZE:USG);30;836;1.214,00;USG;26315788
2014;67.707.544;WALMART INC. (XNYS:WMT);2,1;3.798,00;5.815,00;WMT;10901560
2014;483.470.853;Wells Fargo & Company ;9,4;11.871,00;26.504,00;WFC;124534728
2014;0;Others ;0;10.180,00;15.704,00;No Ticker;0
2013;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);14,2;1.287,00;13.756,00;AXP;0
2013;400.000.000;THE COCA-COLA COMPANY (XETR:CCC3);9,1;1.299,00;16.524,00;CCC3;0
2013;22.238.900;DIRECTV ;4,2;1.017,00;1.536,00;DTV;-760700
2013;41.129.643;EXXON MOBIL CORPORATION (XNYS:XOM);0,9;3.737,00;4.162,00;XOM;0
2013;13.062.594;The Goldman Sachs Group, Inc. ;2,8;750;2.315,00;GS;0
2013;68.121.984;INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM);6,3;11.681,00;12.778,00;IBM;6500
2013;24.669.778;MOODY'S CORPORATION (XNYS:MCO);11,5;248;1.936,00;MCO;-3745472
2013;20.060.390;Muenchener Rueckversicherungs Gesellschaft AG in Muenchen (XFRA:MUV2);11,2;2.990,00;4.415,00;MUV2;0
2013;20.668.118;PHILLIPS 66 (XNYS:PSX);3,4;660;1.594,00;PSX;0
2013;52.477.678;THE PROCTER & GAMBLE COMPANY (XNYS:PG);1,9;336;4.272,00;PG;0
2013;22.169.930;Sanofi ;1,7;1.747,00;2.354,00;SNY;-3678908
2013;301.046.076;Tesco plc ;3,7;1.699,00;1.666,00;TSCDY;-114464813
2013;96.117.069;U.S. BANCORP (XNYS:USB);5,3;3.002,00;3.883,00;USB;18056300
2013;56.805.984;WALMART INC. (XNYS:WMT);1,8;2.976,00;4.470,00;WMT;1982551
2013;483.470.853;WELLS FARGO & COMPANY (XNYS:WFC);9,2;11.871,00;21.950,00;WFC;27300792
2013;0;Others ;0;11.281,00;19.894,00;No Ticker;0
2012;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);13,7;1.287,00;8.715,00;AXP;0
2012;400.000.000;THE COCA-COLA COMPANY (XETR:CCC3);8,9;1.299,00;14.500,00;CCC3;200000000
2012;24.123.911;Conoco Phillips ;2;1.219,00;1.399,00;COP;-4977026
2012;22.999.600;DIRECTV ;3,8;1.057,00;1.154,00;DTV;0
2012;68.115.484;INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM);6;11.680,00;13.048,00;IBM;4209553
2012;28.415.250;MOODY'S CORPORATION (XNYS:MCO);12,7;287;1.430,00;MCO;-19584750
2012;20.060.390;Muenchener Rueckversicherungs Gesellschaft AG in Muenchen (XFRA:MUV2);11,3;2.990,00;3.599,00;MUV2;0
2012;20.668.118;PHILLIPS 66 (XNYS:PSX);3,3;660;1.097,00;PSX;0
2012;3.947.555;POSCO (XNYS:PKX);5,1;768;1.295,00;PKX;0
2012;52.477.678;THE PROCTER & GAMBLE COMPANY (XNYS:PG);1,9;336;3.563,00;PG;-19913358
2012;25.848.838;Sanofi ;2;2.073,00;2.438,00;SNY;0
2012;415.510.889;Tesco plc ;5,2;2.350,00;2.268,00;TSCDY;123933461
2012;78.060.769;U.S. BANCORP (XNYS:USB);4,2;2.401,00;2.493,00;USB;0
2012;54.823.433;WALMART INC. (XNYS:WMT);1,6;2.837,00;3.741,00;WMT;15786291
2012;456.170.061;WELLS FARGO & COMPANY (XNYS:WFC);8,7;10.906,00;15.592,00;WFC;56154233
2012;0;Others ;0;7.646,00;11.330,00;No Ticker;0
2011;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);13;1.287,00;7.151,00;AXP;0
2011;200.000.000;THE COCA-COLA COMPANY (XETR:CCC3);8,8;1.299,00;13.994,00;CCC3;0
2011;29.100.937;Conoco Phillips ;2,3;2.027,00;2.121,00;COP;-8700
2011;63.905.931;INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM);5,5;10.856,00;11.751,00;IBM;0
2011;31.416.127;JOHNSON & JOHNSON (XNYS:JNJ);1,2;1.880,00;2.060,00;JNJ;10081227
2011;79.034.713;Kraft Foods Inc. ;4,5;2.589,00;2.953,00;KHC;-18179871
2011;20.060.390;Muenchener Rueckversicherungs Gesellschaft AG in Muenchen (XFRA:MUV2);11,3;2.990,00;2.464,00;MUV2;800790
2011;3.947.555;POSCO (XNYS:PKX);5,1;768;1.301,00;PKX;0
2011;72.391.036;THE PROCTER & GAMBLE COMPANY (XNYS:PG);2,6;464;4.829,00;PG;0
2011;25.848.838;Sanofi ;1,9;2.055,00;1.900,00;SNY;0
2011;291.577.428;Tesco plc ;3,6;1.719,00;1.827,00;TSCDY;49413655
2011;78.060.769;U.S. BANCORP (XNYS:USB);4,1;2.401,00;2.112,00;USB;0
2011;39.037.142;WALMART INC. (XNYS:WMT);1,1;1.893,00;2.333,00;WMT;0
2011;400.015.828;WELLS FARGO & COMPANY (XNYS:WFC);7,6;9.086,00;11.024,00;WFC;65780243
2011;0;Others ;0;6.895,00;9.171,00;No Ticker;0
2010;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);12,6;1.287,00;6.507,00;AXP;0
2010;225.000.000;BYD Company, Ltd. ;9,9;232;1.182,00;BYDDF;0
2010;200.000.000;THE COCA-COLA COMPANY (XETR:CCC3);8,6;1.299,00;13.154,00;CCC3;0
2010;29.109.637;Conoco Phillips ;2;2.028,00;1.982,00;COP;-8601693
2010;45.022.563;Johnson & Johnson ;1,6;2.749,00;2.785,00;JNJ;16492096
2010;97.214.584;Kraft Foods Inc.;5,6;3.207,00;3.063,00;KHC;-33057916
2010;19.259.600;Muenchener Rueckversicherungs Gesellschaft AG in Muenchen (XFRA:MUV2);10,5;2.896,00;2.924,00;MUV2;0
2010;3.947.555;POSCO (XNYS:PKX);4,6;768;1.706,00;PKX;1
2010;72.391.036;THE PROCTER & GAMBLE COMPANY (XNYS:PG);2,6;464;4.657,00;PG;-10737375
